Worker ID  PID        Elapsed (ms)    Progress (%)    Current Time
18         85542      1772            17.72           2024-12-18T14:47:04.647052+08:00
11         85555      1651            16.51           2024-12-18T14:47:04.654572+08:00
0          85552      1800            18.00           2024-12-18T14:47:04.659321+08:00
6          85563      1507            15.07           2024-12-18T14:47:04.661078+08:00
19         85541      1800            18.00           2024-12-18T14:47:04.666465+08:00
12         85556      1618            16.18           2024-12-18T14:47:04.671392+08:00
20         85548      1753            17.53           2024-12-18T14:47:04.671866+08:00
17         85550      1838            18.38           2024-12-18T14:47:04.67302+08:00
2          85560      1650            16.50           2024-12-18T14:47:04.675673+08:00
7          85561      1622            16.22           2024-12-18T14:47:04.686573+08:00
15         85562      1640            16.40           2024-12-18T14:47:04.689551+08:00
3          85559      1675            16.75           2024-12-18T14:47:04.694158+08:00
5          85544      1712            17.12           2024-12-18T14:47:04.694229+08:00
1          85554      1685            16.85           2024-12-18T14:47:04.701786+08:00
21         85543      1820            18.20           2024-12-18T14:47:04.704976+08:00
23         85546      1735            17.35           2024-12-18T14:47:04.707689+08:00
22         85549      1899            18.99           2024-12-18T14:47:04.712077+08:00
13         85547      1859            18.59           2024-12-18T14:47:04.717083+08:00
20         85548      1800            18.00           2024-12-18T14:47:04.719188+08:00
9          85558      1680            16.80           2024-12-18T14:47:04.726455+08:00
18         85542      1852            18.52           2024-12-18T14:47:04.727277+08:00
16         85540      1835            18.35           2024-12-18T14:47:04.727903+08:00
14         85553      1503            15.03           2024-12-18T14:47:04.730923+08:00
4          85545      1824            18.24           2024-12-18T14:47:04.734951+08:00
10         85551      1913            19.13           2024-12-18T14:47:04.75799+08:00
0          85552      1911            19.11           2024-12-18T14:47:04.770952+08:00
18         85542      1901            19.01           2024-12-18T14:47:04.775711+08:00
6          85563      1630            16.30           2024-12-18T14:47:04.784411+08:00
11         85555      1787            17.87           2024-12-18T14:47:04.791334+08:00
5          85544      1812            18.12           2024-12-18T14:47:04.79426+08:00
1          85554      1780            17.80           2024-12-18T14:47:04.796102+08:00
19         85541      1933            19.33           2024-12-18T14:47:04.799731+08:00
15         85562      1756            17.56           2024-12-18T14:47:04.805503+08:00
17         85550      1971            19.71           2024-12-18T14:47:04.806467+08:00
12         85556      1759            17.59           2024-12-18T14:47:04.812085+08:00
20         85548      1900            19.00           2024-12-18T14:47:04.818405+08:00
21         85543      1933            19.33           2024-12-18T14:47:04.818444+08:00
7          85561      1757            17.57           2024-12-18T14:47:04.82145+08:00
2          85560      1798            17.98           2024-12-18T14:47:04.824091+08:00
23         85546      1854            18.54           2024-12-18T14:47:04.826806+08:00
9          85558      1782            17.82           2024-12-18T14:47:04.82758+08:00
14         85553      1600            16.00           2024-12-18T14:47:04.827886+08:00
8          85557      1801            18.01           2024-12-18T14:47:04.833525+08:00
3          85559      1821            18.21           2024-12-18T14:47:04.840077+08:00
16         85540      1956            19.56           2024-12-18T14:47:04.848964+08:00
13         85547      1991            19.91           2024-12-18T14:47:04.849173+08:00
22         85549      2056            20.56           2024-12-18T14:47:04.869259+08:00
0          85552      2010            20.10           2024-12-18T14:47:04.869733+08:00
4          85545      1962            19.62           2024-12-18T14:47:04.872917+08:00
18         85542      2000            20.00           2024-12-18T14:47:04.874374+08:00
6          85563      1734            17.34           2024-12-18T14:47:04.888153+08:00
10         85551      2045            20.45           2024-12-18T14:47:04.890076+08:00
5          85544      1922            19.22           2024-12-18T14:47:04.90413+08:00
11         85555      1902            19.02           2024-12-18T14:47:04.905577+08:00
19         85541      2050            20.50           2024-12-18T14:47:04.916494+08:00
20         85548      2000            20.00           2024-12-18T14:47:04.918409+08:00
1          85554      1905            19.05           2024-12-18T14:47:04.922034+08:00
23         85546      1951            19.51           2024-12-18T14:47:04.923559+08:00
12         85556      1874            18.74           2024-12-18T14:47:04.927193+08:00
21         85543      2045            20.45           2024-12-18T14:47:04.930034+08:00
14         85553      1702            17.02           2024-12-18T14:47:04.930758+08:00
17         85550      2098            20.98           2024-12-18T14:47:04.933321+08:00
7          85561      1880            18.80           2024-12-18T14:47:04.944878+08:00
9          85558      1900            19.00           2024-12-18T14:47:04.945505+08:00
15         85562      1901            19.01           2024-12-18T14:47:04.950806+08:00
8          85557      1921            19.21           2024-12-18T14:47:04.953177+08:00
2          85560      1931            19.31           2024-12-18T14:47:04.957166+08:00
3          85559      1940            19.40           2024-12-18T14:47:04.958808+08:00
13         85547      2105            21.05           2024-12-18T14:47:04.962771+08:00
16         85540      2072            20.72           2024-12-18T14:47:04.964425+08:00
22         85549      2163            21.63           2024-12-18T14:47:04.976147+08:00
6          85563      1832            18.32           2024-12-18T14:47:04.98619+08:00
5          85544      2010            20.10           2024-12-18T14:47:04.991613+08:00
4          85545      2081            20.81           2024-12-18T14:47:04.992247+08:00
0          85552      2133            21.33           2024-12-18T14:47:04.992415+08:00
18         85542      2129            21.29           2024-12-18T14:47:05.00353+08:00
10         85551      2168            21.68           2024-12-18T14:47:05.012635+08:00
19         85541      2155            21.55           2024-12-18T14:47:05.021612+08:00
23         85546      2051            20.51           2024-12-18T14:47:05.023828+08:00
14         85553      1800            18.00           2024-12-18T14:47:05.027884+08:00
20         85548      2109            21.09           2024-12-18T14:47:05.028222+08:00
11         85555      2028            20.28           2024-12-18T14:47:05.032149+08:00
12         85556      1984            19.84           2024-12-18T14:47:05.037517+08:00
1          85554      2025            20.25           2024-12-18T14:47:05.041383+08:00
8          85557      2013            20.13           2024-12-18T14:47:05.045747+08:00
21         85543      2172            21.72           2024-12-18T14:47:05.056824+08:00
17         85550      2223            22.23           2024-12-18T14:47:05.05781+08:00
9          85558      2023            20.23           2024-12-18T14:47:05.069348+08:00
16         85540      2178            21.78           2024-12-18T14:47:05.070712+08:00
19         85541      2204            22.04           2024-12-18T14:47:05.070807+08:00
7          85561      2007            20.07           2024-12-18T14:47:05.071892+08:00
